S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %
140.,Oil India,441.25,10.98,71774.07,2.38,1496.97,-38.61,8808.34,-3.70,12.97
141.,Ashok Leyland,244.40,23.20,71768.78,2.58,1245.92,33.61,14695.55,8.52,14.37
142.,Aditya Birla Cap,272.60,21.47,71153.96,0.00,885.61,-29.66,12214.04,13.31,9.34
143.,Adani Total Gas,634.30,106.59,69760.93,0.04,154.59,-7.96,1341.26,14.94,17.47
144.,Coromandel Inter,2347.95,38.57,69226.47,0.49,578.46,89.62,4988.39,27.49,24.09
145.,General Insuranc,384.65,9.14,67482.96,2.59,2498.86,-3.16,13208.55,28.81,15.60
146.,Abbott India,31693.60,47.64,67348.92,1.52,367.04,27.86,1604.59,11.54,46.23
147.,F A C T,1037.00,3002.29,67101.35,0.09,70.72,-52.55,1053.28,-0.80,8.64
148.,Bharat Dynamics,1813.00,120.94,66457.80,0.28,272.77,-5.54,1776.98,108.05,19.65
149.,Berger Paints,568.50,56.14,66281.14,0.63,262.91,17.99,2704.03,7.29,25.14
150.,Colgate-Palmoliv,2417.45,45.77,65751.10,2.08,355.00,-6.53,1462.51,-1.85,105.36
,Median: 501 Co.,894.4,42.09,31615.32,0.45,211.0,14.87,2060.64,10.6,15.99
151.,Aurobindo Pharma,1120.45,18.91,65651.46,0.40,902.83,-7.19,8382.12,10.58,14.27
152.,JSW Infrast,312.00,45.53,65520.05,0.26,515.58,54.79,1283.18,17.04,13.92
153.,IndusInd Bank,829.25,24.38,64603.11,1.96,-2235.99,-195.28,10633.85,-12.83,6.49
154.,Yes Bank,20.25,25.85,63509.31,0.00,744.53,59.33,7623.20,2.22,6.36
155.,P I Industries,4161.65,38.08,63139.74,0.36,330.50,-10.55,1787.10,2.65,22.58
156.,Coforge,1880.00,75.20,62872.03,0.82,307.30,20.36,3409.90,47.08,20.66
157.,Vishal Mega Mart,133.15,98.17,62066.15,0.00,115.11,88.03,2547.89,23.15,13.11
158.,Uno Minda,1071.90,65.69,61544.63,0.21,289.24,-1.18,4528.32,19.35,18.88
159.,I R C T C,767.85,47.92,61428.00,0.91,357.95,17.74,1268.53,9.85,49.01
160.,GE Vernova T&D,2396.35,100.90,61358.57,0.08,186.49,181.32,1152.54,26.15,53.94
161.,Schaeffler India,3922.00,60.39,61302.33,0.70,265.41,16.58,2110.02,14.10,25.67
162.,Bharat Forge,1276.50,60.64,61028.05,0.66,282.63,22.54,3852.60,-7.48,13.09
163.,NMDC,69.05,9.30,60707.53,3.43,1476.71,3.43,7004.59,7.94,29.59
164.,AU Small Finance,807.85,28.58,60180.94,0.11,503.70,16.24,4270.60,50.93,8.40
165.,Patanjali Foods,1634.20,45.54,59240.77,0.49,358.54,73.78,9692.21,17.80,15.47
166.,MRF,139449.90,31.62,59142.64,0.15,512.11,29.29,7074.82,11.43,13.59
167.,Fortis Health.,779.60,69.79,58856.53,0.13,188.02,27.66,2007.20,12.39,11.99
168.,FSN E-Commerce,204.30,884.07,58423.55,0.00,19.05,174.89,2061.76,23.61,9.56
169.,Phoenix Mills,1627.00,59.55,58169.12,0.16,347.70,-17.19,1016.34,-22.18,11.17
170.,Alkem Lab,4849.55,26.76,57983.64,0.82,322.39,0.99,3143.75,7.08,20.42
171.,One 97,894.40,,57071.86,0.00,-544.60,95.49,1911.50,-15.69,-10.14
172.,Linde India,6612.80,125.95,56394.01,0.06,117.90,13.01,591.88,-6.06,17.02
173.,Cochin Shipyard,2135.05,66.56,56169.04,0.46,284.70,7.57,1651.13,34.73,20.13
174.,Max Financial,1626.90,170.22,56146.72,0.00,38.28,174.88,12375.76,-16.87,8.07
175.,Supreme Inds.,4406.90,60.65,55979.47,0.76,293.94,-17.16,3027.07,0.64,22.04
,Median: 501 Co.,894.4,42.09,31615.32,0.45,211.0,14.87,2060.64,10.6,15.99
176.,Kalyan Jewellers,539.80,78.04,55701.70,0.23,187.61,36.45,6181.53,36.61,14.31
177.,Jindal Stain.,673.05,22.18,55443.81,0.44,589.96,18.63,10198.32,7.87,18.18
178.,Glaxosmi. Pharma,3262.15,63.21,55262.79,1.29,262.87,36.37,974.37,4.79,63.25
179.,Tube Investments,2850.05,81.28,55146.73,0.12,158.19,-75.44,5149.96,14.70,21.55
180.,Sundaram Finance,4922.05,29.08,54685.86,0.61,552.98,81.45,2259.05,4.79,9.69
181.,Page Industries,48670.00,74.51,54285.87,1.90,164.01,51.58,1098.07,10.64,59.40
182.,S A I L,128.25,20.41,52974.06,1.53,1250.98,-16.13,29316.14,4.86,6.72
183.,IDFC First Bank,72.21,35.54,52952.34,0.00,295.60,-59.61,9412.94,14.51,6.22
184.,UPL,651.55,48.84,52904.66,0.16,1079.00,826.31,15573.00,10.62,7.76
185.,Bank of India,116.05,5.66,52833.72,3.49,2602.32,65.33,18478.96,13.71,6.17
186.,Mphasis,2753.40,30.76,52383.36,2.09,446.49,13.55,3710.04,8.73,22.20
187.,Motil.Oswal.Fin.,869.25,20.90,52095.35,0.58,-63.18,-108.74,1190.26,-44.74,18.67
188.,Federal Bank,210.40,12.40,51695.36,0.57,1120.48,12.38,7107.95,12.13,7.04
189.,United Breweries,1934.90,111.28,51159.74,0.52,97.76,20.16,2322.98,8.89,13.88
190.,Nippon Life Ind.,792.55,39.10,50330.43,2.28,298.60,-12.92,566.54,20.99,41.07
191.,L&T Finance Ltd,201.30,18.97,50272.33,1.35,635.84,14.98,4022.92,9.61,8.71
192.,APL Apollo Tubes,1795.55,65.81,49830.98,0.30,293.11,71.97,5508.60,15.59,22.80
193.,Glenmark Pharma.,1716.75,36.80,48446.86,0.15,4.38,116.22,3256.20,6.31,19.40
194.,Indian Renewable,171.85,28.37,48276.63,0.00,501.79,48.73,1904.15,36.87,9.57
195.,H U D C O,239.50,17.62,47945.56,1.76,727.74,3.94,2844.99,37.76,9.62
196.,Tata Comm,1673.35,35.99,47690.48,1.50,1040.51,-21.61,5990.35,6.12,14.79
197.,360 ONE,1196.00,43.64,47139.46,0.52,249.60,2.88,820.77,3.74,14.91
198.,Jubilant Food.,713.00,206.42,47046.92,0.17,49.34,-3.91,2103.18,33.64,12.86
199.,Biocon,350.65,48.77,46880.57,0.14,459.40,138.19,4417.00,12.76,6.13
200.,J K Cements,6047.45,59.11,46727.57,0.26,361.33,68.44,3581.18,15.31,13.93
,Median: 501 Co.,897.0,42.18,31594.52,0.45,211.0,14.87,2060.64,10.6,15.99
201.,Balkrishna Inds,2400.60,28.05,46407.74,0.66,368.55,-24.28,2752.38,2.63,18.09
